,text_unique,count_text,lat,lon
0,es,28,-2.843,49.919
1,war,21,-2.197,49.952
2,einmal,1,-1.551,49.976000000000006
3,ein,17,-0.905,49.992
4,kleiner,2,-0.259,49.998999999999995
5,junge,4,0.38799999999999996,49.998000000000005
6,der,53,1.034,49.989
7,hieß,1,1.68,49.972
8,thomas,7,2.326,49.946000000000005
9,dem,11,2.972,49.912
10,hatten,1,3.617,49.869
11,seine,4,4.261,49.818000000000005
12,großeltern,1,4.905,49.75899999999999
13,zum,1,5.547999999999999,49.691
14,ersten,1,6.19,49.615
15,weihnachtsfest,1,6.831,49.531000000000006
16,einen,8,7.47,49.43899999999999
17,kleinen,3,8.109,49.338
18,hund,15,8.746,49.229
19,aus,2,9.382,49.111999999999995
20,schwarzem,1,10.016,48.986999999999995
21,plüsch,1,10.648,48.853
22,geschenkt,1,11.279000000000002,48.711000000000006
23,mit,9,11.908,48.56100000000001
24,hängeohren,1,12.535,48.403
25,und,40,13.159,48.236999999999995
26,frechen,1,13.782,48.063
27,braunen,1,14.402000000000001,47.881
28,augen,1,15.02,47.691
29,eine,10,15.635,47.493
30,art,1,16.248,47.286
31,dackeltier,1,16.858,47.071999999999996
32,aber,10,17.465,46.851000000000006
33,auf,17,18.069000000000003,46.621
34,rädern,1,18.67,46.383
35,da,8,19.268,46.138000000000005
36,die,23,19.863,45.885
37,achsen,1,20.455,45.625
38,dieser,2,21.043000000000003,45.356
39,räder,1,21.628,45.08
40,nicht,12,22.209,44.797
41,im,6,22.785999999999998,44.506
42,mittelpunkt,1,23.359,44.208
43,saßen,2,23.929000000000002,43.902
44,sondern,4,24.494,43.589
45,seitlich,1,25.055999999999997,43.269
46,hoppelte,2,25.613000000000003,42.941
47,wogte,1,26.166,42.607
48,das,24,26.715,42.265
49,schwarze,1,27.259,41.916000000000004
50,stoffgeschöpf,1,27.799,41.56
51,nieder,1,28.334,41.196999999999996
52,als,5,28.864,40.827
53,haste,1,29.389,40.451
54,wild,1,29.91,40.068000000000005
55,über,5,30.425,39.678000000000004
56,alle,2,30.936,39.281
57,kraft,1,31.441,38.878
58,imaginären,1,31.941,38.468
59,hasen,1,32.436,38.052
60,nach,7,32.925,37.629
61,darum,1,33.408,37.2
62,taufte,1,33.887,36.765
63,vater,18,34.359,36.324
64,den,26,34.826,35.876999999999995
65,hoppelpoppel,27,35.287,35.424
66,etwas,3,35.742,34.965
67,älter,1,36.191,34.5
68,geworden,1,36.634,34.029
69,sprechen,1,37.071,33.552
70,konnte,2,37.501,33.07
71,genehmigte,1,37.926,32.583
72,auch,9,38.344,32.09
73,er,37,38.755,31.590999999999998
74,diesen,1,39.161,31.088
75,namen,1,39.559,30.579
76,liebte,1,39.951,30.065
77,sehr,4,40.336999999999996,29.546
78,immer,1,40.715,29.022
79,mußte,3,41.086999999999996,28.493000000000002
80,bei,3,41.452,27.96
81,ihm,2,41.81,27.421
82,sein,4,42.161,26.879
83,schlaf,2,42.505,26.331
84,durfte,1,42.842,25.78
85,ihn,6,43.17100000000001,25.224
86,verlassen,1,43.494,24.663
87,wachte,1,43.809,24.099
88,genau,3,44.117,23.531
89,darüber,1,44.418,22.958000000000002
90,daß,5,44.711000000000006,22.381999999999998
91,eltern,4,44.996,21.802
92,nur,4,45.273999999999994,21.219
93,ihrem,1,45.545,20.631999999999998
94,sohn,2,45.808,20.041
95,gute,2,46.063,19.447
96,nacht,2,46.31100000000001,18.85
97,sagten,1,46.55,18.25
98,eben,1,46.782,17.647000000000002
99,richtige,1,47.007,17.04
100,liebe,1,47.223,16.430999999999997
101,nun,7,47.431999999999995,15.819
102,geschah,1,47.632,15.205
103,toms,1,47.825,14.588
104,an,7,48.00899999999999,13.968
105,neuen,3,48.18600000000001,13.345999999999998
106,wohnsitz,1,48.354,12.722000000000001
107,verzogen,1,48.515,12.095999999999998
108,weit,4,48.667,11.468
109,weg,1,48.81100000000001,10.838
110,kleine,7,48.946999999999996,10.206
111,blieb,2,49.075,9.572000000000001
112,während,1,49.195,8.937000000000001
113,umzugstage,1,49.306000000000004,8.3
114,guten,1,49.409,7.662000000000001
115,tante,4,49.504,7.023
116,kunjä,4,49.591,6.382000000000001
117,natürlich,2,49.669,5.74
118,wie,3,49.739,5.098
119,hätte,2,49.801,4.454
120,tom,6,49.855,3.81
121,sonst,1,49.9,3.165
122,schlafen,5,49.93600000000001,2.52
123,können,1,49.965,1.874
124,einer,2,49.985,1.228
125,weile,2,49.997,0.5820000000000001
126,dann,8,50.0,-0.065
127,soweit,1,49.995,-0.711
128,fuhr,5,49.982,-1.357
129,häuserchen,3,49.96,-2.003
130,bahnhof,1,49.93,-2.6489999999999996
131,erwartete,1,49.891000000000005,-3.2939999999999996
132,sie,6,49.845,-3.9389999999999996
133,so,6,49.79,-4.583
134,selig,3,49.726000000000006,-5.226
135,verlegen,1,49.653999999999996,-5.869
136,dies,1,49.574,-6.51
137,wiedersehen,1,49.486000000000004,-7.151
138,schnurstracks,1,49.388999999999996,-7.79
139,seinen,3,49.285,-8.427999999999999
140,kopf,1,49.172,-9.064
141,durch,4,49.05,-9.699
142,des,3,48.92100000000001,-10.332
143,vaters,2,48.783,-10.964
144,beine,1,48.637,-11.594000000000001
145,steckte,1,48.483000000000004,-12.220999999999998
146,abfahrenden,1,48.321000000000005,-12.847000000000001
147,zug,6,48.151,-13.470999999999998
148,betrachtete,1,47.973,-14.092
149,gingen,2,47.787,-14.710999999999999
150,drei,2,47.593,-15.328
151,hand,4,47.39,-15.942
152,in,6,47.18,-16.553
153,wald,2,46.961999999999996,-17.162
154,zur,3,46.736999999999995,-17.767
155,mummi,5,46.503,-18.37
156,ins,4,46.262,-18.97
157,neue,3,46.013000000000005,-19.566
158,kam,5,45.756,-20.16
159,plötzlich,3,45.49100000000001,-20.749000000000002
160,augenblick,2,45.218999999999994,-21.336
161,angedonnert,1,44.94,-21.919
162,stehenblieb,1,44.653,-22.498
163,o,1,44.358000000000004,-23.073
164,gott,1,44.056000000000004,-23.645
165,habe,2,43.747,-24.212
166,ich,6,43.43,-24.776
167,doch,6,43.106,-25.335
168,bahn,2,42.775,-25.89
169,liegengelassen,1,42.437,-26.441
170,machte,4,42.091,-26.988000000000003
171,rasch,1,41.739,-27.529
172,kopfbewegung,1,41.379,-28.066999999999997
173,sagte,16,41.013000000000005,-28.599
174,still,2,40.64,-29.127
175,hier,2,40.26,-29.65
176,hat,2,39.873000000000005,-30.168000000000003
177,herr,2,39.48,-30.680999999999997
178,viel,3,39.08,-31.189
179,eindrücke,1,38.674,-31.691999999999997
180,einfach,1,38.260999999999996,-32.189
181,vergißt,1,37.841,-32.681
182,noch,5,37.416,-33.167
183,gar,2,36.984,-33.648
184,nichts,4,36.546,-34.124
185,marschierte,1,36.101,-34.593
186,stramm,1,35.650999999999996,-35.056999999999995
187,beinchen,1,35.195,-35.515
188,zwischen,1,34.733000000000004,-35.967
189,beiden,1,34.265,-36.413000000000004
190,großen,1,33.791,-36.853
191,sah,5,33.312,-37.287
192,herrlich,1,32.827,-37.714
193,hohen,1,32.336999999999996,-38.135999999999996
